/media/ramdisk/centos.iso > /media/pc/hd/centos.iso
sending incremental file list
centos.iso

          2.45G  57%   53.92MB/s    0:00:35  
          2.51G  58%   54.05MB/s    0:00:34  
          2.56G  59%   53.39MB/s    0:00:33  
          2.62G  61%   57.11MB/s    0:00:30  
          2.67G  62%   55.17MB/s    0:00:30  
          2.72G  63%   54.98MB/s    0:00:29  
          2.77G  64%   53.66MB/s    0:00:29  
          2.83G  66%   48.11MB/s    0:00:31  
          2.90G  67%   53.43MB/s    0:00:27  
          2.95G  69%   53.36MB/s    0:00:26  
          3.00G  70%   54.58MB/s    0:00:24  
          3.06G  71%   59.29MB/s    0:00:21  
          3.12G  72%   56.19MB/s    0:00:21  
